CLID	subtype	ACTR3B	ANLN	BAG1	BCL2	BIRC5	BLVRA	CCNB1	CCNE1	CDC20	CDC6	CDH3	CENPF	CEP55	CXXC5	EGFR	ERBB2	ESR1	EXO1	FGFR4	FOXA1	FOXC1	GPR160	GRB7	KIF2C	KRT14	KRT17	KRT5	MAPT	MDM2	MELK	MIA	MKI67	MLPH	MMP11	MYBL2	MYC	NAT1	ORC6L	PGR	PHGDH	PTTG1	RRM2	SFRP1	SLC39A6	TMEM45B	TYMS	UBE2C	UBE2T
TCGA-B6-A40C-01A	0	201.399	456.578	1825.03	1453.97	363.24	1868.57	977.089	63.1088	821.512	293.593	518.59	2666.21	456.304	1077.51	50.7614	9291.26000000001	1812.32	330.635	268.624	4829.74	76.5537	1148.03	803.951	725.751	593.223	995.198	606.668	1924.82	1307.45	300.178	19.207	1919.88	7754.7	20186.9	1053.37	2250.24	2762.24	134.998	3809.16	451.091	449.719	731.239	263.136	4764.99	411.03	636.419	667.033	600.082
TCGA-BH-A0AU-01A	0	234.206	1112.82	710.289	1106.95	451.241	994.134	679.152	131.769	396.209	730.596	413.357	2973.38	624.097	1194.49	193.141	10269	9915.16	206.227	78.9711	5707.13	73.556	800.542	320.848	583.033	152.978	116.426	323.105	9323.56	4417.87	247.744	8.4973	3591.61	11070.8	12995.5	1158.84	1460.29	548.285	199.458	5191.91	1036.1	152.527	1021.66	699.007	14393.1	41.065	429.729	591.606	276.625
TCGA-BH-A0AV-01A	1	122.23	3426.8	1141.71	177.3	955.497	256.884	1249.16	219.946	1375.08	600.739	4745.13	2979.52	1593.02	144.056	1431.49	3526.53	31.229	382.807	31.5648	72.8677	1627.94	148.422	794.829	1057.09	518.469	17651.1	880.457	29.2142	1204.84	1172.93	593.015	8972.8	53.0557	34279	1034.92	2180.32	22.1625	93.3512	34.2512	3262.59	549.026	1096.37	17584.3	2681.67	52.0484	718.674	628.274	534.251
TCGA-BH-A0AY-01A	0	159.93	1069.97	1661.47	540.635	371.838	1369.4	723.164	33.0291	600.174	179.487	419.383	1289	523.251	983.485	166.449	3619.73	5100.39	246.849	726.206	6069.1	217.731	734.029	202.086	414.602	0	4.7805	2.6076	1856.58	1458.93	436.332	1.8079	1709.26	4424.16	14138.6	1002.61	1480.66	2860.06	42.1556	2242.07	340.721	345.067	845.719	568.448	2780.53	52.1512	372.916	566.275	493.698
TCGA-BH-A0AZ-01A	0	104.935	519.885	1154.29	969.813	218.864	2444.18	420.22	58.4571	230.474	223.287	1283.18	1055.58	172.017	1122.18	542.885	5955.44	3699.09	85.2899	41.2075	6285.1	281.265	610.925	494.969	196.454	2597.99	1257.79	2407.76	4637.28	1649.26	150.455	111.715	1053.67	6738.86	35556.3	229.995	884.044	2670.82	43.6033	384.284	669.861	353.139	624.341	3287.97	11897	17.2496	141.308	212.266	308.098
TCGA-BH-A0B0-01A	0	161.09	558.034	2839.55	928.955	90.3594	984.717	666.667	33.8703	356.877	86.328	496.076	791.409	147.46	631.557	212.722	3978.52	6175.55	56.1751	5.3697	7424.2	156.547	1654.69	221.809	161.09	491.945	577.034	666.667	1344.07	1353.16	236.266	6.6625	987.195	11177.2	1531.19	180.504	553.49	2738.12	51.2185	224.519	2021.48	213.548	387.856	682.363	5301.94	370.095	223.598	223.048	214.787
TCGA-BH-A0B1-01A	0	210.134	867.735	983.115	1225.41	355.026	1774.22	1230.25	32.4143	489.94	674.367	495.156	2168.78	336.438	1222.43	191.125	5634.13	18853.9	276.08	30.5514	6143.07	246.647	1887.85	272.355	576.751	2116.24	3023.84	7878.17	3393.82	10944.1	343.517	20.4918	901.267	3421.01	5900.89	580.85	1558.49	1874.81	216.84	10862.2	1244.04	441.505	1046.57	482.861	74327.5000000001	108.42	298.308	461.624	368.853
TCGA-BH-A0B2-01A	0	132.573	182.533	1287.18	2645.95	171.774	549.174	476.397	42.8796	199.449	141.227	454.76	959.481	147.522	893.391	263.572	10420.1	6655.39	96.7742	118.804	6327.69	160.504	649.095	449.253	200.236	1289.14	839.89	1658.54	530.684	1636.51	128.245	51.5342	957.907	3597.17	7050.35	303.698	3660.5	3272.62	28.7175	1047.31	439.024	163.651	232.101	2293.47	12005.9	41.6994	204.028	225.806	223.446
TCGA-BH-A0B3-01A	1	211.153	3667.53	904.881	165.467	1935.76	751.704	1960.65	327.863	4809.29	920.626	7956.23	5483.83	1578.27	286.016	942.125	4373.16	139.361	873.404	91.7554	124.772	2393.7	162.396	359.344	2296.96	16661.9	34282.4	49566	63.3458	1516.08	1089.93	341.803	7264.42	282.561	36014.2	4099.82	1788.27	110.567	229.964	341.223	6154.91	897.975	3412.61	14245.9	2399.08	13.8209	1858.2	2397.16	600.442
TCGA-BH-A0B5-01A	0	146.097	1523.02	958.736	1512.68	227.015	1099.4	1500.33	83.3889	942.962	305.871	749.5	5387.59	614.076	1242.16	250.817	7943.3	3590.39	374.583	35.6905	8330.89	97.3983	1177.12	540.027	623.416	1311.54	1473.32	1408.61	2629.75	2106.74	497.665	33.0487	5368.91	6584.72	19260.5	1787.53	1642.76	7389.93	104.403	1388.13	1334.22	495.997	1690.79	787.859	16688.5	113.743	1331.96	533.356	482.655
TCGA-BH-A0B6-01A	0	199.553	85.8634	1264.21	2492.82	99.4982	1788.03	374.062	29.8137	414.609	136.348	434.485	314.435	135.155	1354.73	80.6957	3699.28	8440.46	47.7019	2319.51	5446.76	55.2547	2929.29	289.392	144.298	535.056	449.591	573.615	399.503	1699.78	107.727	23.851	622.51	3948.13	2224.5	377.64	535.056	2000.7	28.6211	52.8696	347.031	202.336	469.466	680.15	24944.1	121.242	320.919	215.851	112.894
TCGA-BH-A0B8-01A	0	100.099	359.989	3693.08	8127.77	244.862	2571.35	790.691	41.3253	195.147	558.81	266.319	1078.59	307.185	1368.33	112.497	9242.63	25456.4	175.862	42.7028	9661.86	76.2222	1305.88	503.25	237.85	669.011	2738.95	7894.51	3962.18	3673.36	161.169	2.8606	2036.88	7001.42	4860.77	519.321	5117.45	2111.26	120.302	559.728	734.672	309.481	894.922	336.572	163947	73.4672	799.704	364.581	202.035
TCGA-BH-A0B9-01A	1	801.388	1283.25	2298.36	1831.84	1206.8	675.325	1875.5	599.866	1943.57	589.566	858.038	3401.48	1716.08	274.071	439.093	1557.99	28.4371	650.918	443.126	82.4004	1847.74	36.2741	683.833	1308.11	972.459000000001	1639.05	37497.3	21.9436	1209.81	1204.88	701.919	2799.15	361.845	3105.02	2008.51	7443.35	127.631	396.328	5.5979	8065.83	855.799	1284.37	12223	1817.29	15.4501	1330.46	1732.87	978.056000000001
TCGA-BH-A0BA-01A	0	153.886	767.372	3338.21	1311.28	254.727	1185.5	770.457	23.6484	246.766	236.141	619.656	1980.98	171.708	765.316	543.227	7792.31	10208.9	282.752	1552.91	8689.23	210.093	2277.44	676.549	259.104	3512.3	1849.03	2980.72	978.151000000001	1688.29	378.374	28.1038	1278.38	9757.51999999999	1829.15	571.331	1001.46	1575.19	132.294	447.9	423.614	173.421	744.409	2980.72	8217.29	673.807	324.308	494.216	350.955
TCGA-BH-A0BC-01A	0	163.044	552.84	1602.29	2382.25	262.154	3419.39	911.235	46.1958	656.101	308.878	573.975	1715.28	499.398	1378.93	201.088	2760.27	19236.2	232.489	148.853	8665.49	229.167	3665.47	190.218	514.192	2217.1	2236.42	3040.47	2265.1	2693.85	401.873	35.3262	2317.64	4285.04	17606.6	1000.91	955.317	4980.69	110.206	986.415999999999	2612.63	550.424	1333.94	1659.43	48879.1	84.2394	1098.5	467.091	306.16
TCGA-BH-A0BD-01A	0	156.638	1129.17	1429.94	934.271	389.228	2373.12	1914.32	142.904	1077.5	576.848	3640.94	9493.46	717.789	932.309	209.941	4752.13	5212.56	671.027	60.4971	4165.79	249.183	585.023	414.323	768.803	1060.5	707.652	1141.92	5205.04	1862	515.37	17.3316	4823.74	5587.97	11475.5	935.578999999999	1551.99	1013.73	146.828	25713.5	2667.1	783.192	1433.62	904.186	12198.2	21.9097	513.888	814.258	885.219
TCGA-BH-A0BF-01A	0	144.467	821.343	892.27	640.663	478.729	689.589	622.941	75.508	432.63	144.082	568.236	3110.47	612.925	529.327	182.213	3417.12	1827.22	216.508	104.401	3610.13	107.869	673.794	186.844	377.54	408.36	662.622	617.163	103.631	1618.8	246.942	9.0995	2623.13	4190.31	18378.1	1386.88	2758.36	1079.07	84.7539	987.784	184.918	341.712	810.17	253.491	7528.46	392.95	615.914	723.876	455.36
TCGA-BH-A0BG-01A	1	381.527	1083.61	1028.98	1178.21	669.548	574.805	790.71	123.509	898.191	334.072	7842.99	4245.51	739.798	165.622	358.576	4273.79	52.7978	234.762	98.9959	21.9991	2591.49	168.45	951.303	688.257	2613.81	1581.73	2645.86	23.8847	1979.29	561.291	3043.15	2098.4	188.878	7419.98	583.919	5595.63	65.0544	210.877	16.0279	1667.53	501.894	786.31	11976	1991.55	18.5421	3657.24	653.373	522.321
